t,leg_idx,phase,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,cmd_vn,cmd_ve,cmd_vd,cmd_spd,ach_spd,err_spd,dxy_to_gate,dist_to_gate,turn_angle_rad,blend_radius,desired_pre_ceiling,cmd_pre_smooth,yaw_cmd_deg
0.0,0,LAUNCH,0.136,0.311,-2.429,-0.129,-0.331,-0.062,0.12,-0.002,-1.713,0.12,0.355,-0.235,19.866,19.874,0.6036,1.973,2.5,3.205,-0.9
0.022,0,LAUNCH,0.136,0.311,-2.429,-0.129,-0.331,-0.062,0.24,-0.004,-1.713,0.24,0.355,-0.115,19.866,19.874,0.6036,1.973,2.5,3.205,-0.9
0.0434,0,LAUNCH,0.136,0.307,-2.431,-0.126,-0.319,-0.072,0.36,-0.006,-1.706,0.36,0.343,0.017,19.866,19.875,0.6034,1.97,2.5,3.205,-0.88
0.0658,0,LAUNCH,0.136,0.307,-2.431,-0.126,-0.319,-0.072,0.48,-0.007,-1.706,0.48,0.343,0.137,19.866,19.875,0.6034,1.97,2.5,3.205,-0.88
0.0876,0,LAUNCH,0.134,0.301,-2.437,-0.137,-0.301,-0.119,0.6,-0.009,-1.69,0.6,0.331,0.269,19.868,19.876,0.6031,1.967,2.5,3.205,-0.87
0.1089,0,LAUNCH,0.134,0.301,-2.437,-0.137,-0.301,-0.119,0.72,-0.011,-1.69,0.72,0.331,0.389,19.868,19.876,0.6031,1.967,2.5,3.205,-0.87
0.1314,0,LAUNCH,0.133,0.296,-2.444,-0.139,-0.257,-0.225,0.84,-0.013,-1.669,0.84,0.293,0.547,19.869,19.877,0.6029,1.957,2.5,3.205,-0.85
0.153,0,LAUNCH,0.133,0.296,-2.444,-0.139,-0.257,-0.225,0.96,-0.014,-1.669,0.96,0.293,0.667,19.869,19.877,0.6029,1.957,2.5,3.205,-0.85
0.1748,0,LAUNCH,0.132,0.294,-2.455,-0.138,-0.217,-0.377,1.079,-0.016,-1.635,1.08,0.257,0.823,19.871,19.878,0.6028,1.948,2.5,3.205,-0.85
0.1972,0,LAUNCH,0.132,0.294,-2.455,-0.138,-0.217,-0.377,1.199,-0.018,-1.635,1.2,0.257,0.943,19.871,19.878,0.6028,1.948,2.5,3.205,-0.85
0.2197,0,LAUNCH,0.13,0.293,-2.472,-0.124,-0.207,-0.561,1.319,-0.019,-1.584,1.32,0.241,1.078,19.872,19.879,0.6027,1.944,2.5,3.205,-0.84
0.2417,0,LAUNCH,0.13,0.291,-2.495,-0.069,-0.185,-0.769,1.439,-0.021,-1.514,1.44,0.197,1.242,19.873,19.879,0.6026,1.933,2.5,3.205,-0.84
0.2641,0,LAUNCH,0.13,0.291,-2.495,-0.069,-0.185,-0.769,1.559,-0.023,-1.514,1.559,0.197,1.362,19.873,19.879,0.6026,1.933,2.5,3.205,-0.84
0.2854,0,LAUNCH,0.131,0.29,-2.526,0.006,-0.133,-0.965,1.679,-0.025,-1.423,1.68,0.133,1.546,19.871,19.877,0.6026,1.917,2.5,3.205,-0.84
0.3076,0,LAUNCH,0.131,0.29,-2.526,0.006,-0.133,-0.965,1.799,-0.026,-1.423,1.799,0.133,1.666,19.871,19.877,0.6026,1.917,2.5,3.205,-0.84
0.3288,0,LAUNCH,0.137,0.293,-2.573,0.149,-0.037,-1.21,1.919,-0.028,-1.282,1.92,0.154,1.766,19.865,19.87,0.6028,1.922,2.5,3.205,-0.85
0.3511,0,LAUNCH,0.137,0.293,-2.573,0.149,-0.037,-1.21,2.039,-0.03,-1.282,2.04,0.154,1.886,19.865,19.87,0.6028,1.922,2.5,3.205,-0.85
0.3735,0,LAUNCH,0.147,0.297,-2.617,0.295,-0.013,-1.371,2.159,-0.032,-1.149,2.16,0.295,1.865,19.856,19.859,0.603,1.958,2.5,3.205,-0.86
0.3959,0,LAUNCH,0.147,0.297,-2.617,0.295,-0.013,-1.371,2.279,-0.034,-1.149,2.28,0.295,1.985,19.856,19.859,0.603,1.958,2.5,3.205,-0.86
0.4183,0,LAUNCH,0.161,0.302,-2.666,0.485,0.041,-1.495,2.399,-0.037,-1.002,2.4,0.486,1.913,19.841,19.844,0.6032,2.006,2.5,3.205,-0.87
0.4391,0,LAUNCH,0.161,0.302,-2.666,0.485,0.041,-1.495,2.519,-0.038,-1.002,2.52,0.486,2.033,19.841,19.844,0.6032,2.006,2.5,3.205,-0.87
0.4616,0,LAUNCH,0.182,0.31,-2.718,0.665,0.093,-1.545,2.639,-0.041,-0.845,2.64,0.671,1.969,19.821,19.823,0.6036,2.052,2.5,3.205,-0.9
0.4829,0,LAUNCH,0.182,0.31,-2.718,0.665,0.093,-1.545,2.759,-0.043,-0.845,2.76,0.671,2.089,19.821,19.823,0.6036,2.052,2.5,3.205,-0.9
0.5051,0,LAUNCH,0.208,0.318,-2.772,0.854,0.109,-1.564,2.879,-0.046,-0.685,2.88,0.861,2.019,19.795,19.796,0.6041,2.1,2.5,3.205,-0.92
