t,leg_idx,phase,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,cmd_vn,cmd_ve,cmd_vd,cmd_spd,ach_spd,err_spd,dxy_to_gate,dist_to_gate,turn_angle_rad,blend_radius,desired_pre_ceiling,cmd_pre_smooth,yaw_cmd_deg
0.0,0,LAUNCH,-0.142,0.174,-2.41,-0.018,-0.252,-0.187,0.12,-0.003,-0.27,0.12,0.252,-0.132,8.144,8.144,1.0042,2.202,2.5,3.205,-1.23
0.0208,0,LAUNCH,-0.144,0.176,-2.415,-0.008,-0.233,-0.141,0.24,-0.005,-0.256,0.24,0.233,0.007,8.146,8.146,1.0044,2.198,2.5,3.205,-1.24
0.0423,0,LAUNCH,-0.144,0.176,-2.415,-0.008,-0.233,-0.141,0.36,-0.008,-0.256,0.36,0.233,0.127,8.146,8.146,1.0044,2.198,2.5,3.205,-1.24
0.0639,0,LAUNCH,-0.146,0.179,-2.419,-0.013,-0.257,-0.113,0.48,-0.011,-0.244,0.48,0.258,0.222,8.148,8.148,1.0048,2.204,2.5,3.205,-1.26
0.0848,0,LAUNCH,-0.146,0.179,-2.419,-0.013,-0.257,-0.113,0.6,-0.013,-0.244,0.6,0.258,0.342,8.148,8.148,1.0048,2.204,2.5,3.205,-1.26
0.1056,0,LAUNCH,-0.148,0.18,-2.421,-0.013,-0.261,-0.116,0.72,-0.016,-0.236,0.72,0.262,0.458,8.15,8.15,1.0049,2.205,2.5,3.205,-1.26
0.1272,0,LAUNCH,-0.148,0.18,-2.421,-0.013,-0.261,-0.116,0.84,-0.019,-0.236,0.84,0.262,0.578,8.15,8.15,1.0049,2.205,2.5,3.205,-1.26
0.1488,0,LAUNCH,-0.15,0.18,-2.424,-0.015,-0.261,-0.138,0.96,-0.021,-0.228,0.96,0.262,0.698,8.152,8.152,1.0049,2.205,2.5,3.205,-1.27
0.1699,0,LAUNCH,-0.151,0.183,-2.427,-0.014,-0.233,-0.155,1.08,-0.024,-0.219,1.08,0.233,0.847,8.153,8.154,1.0053,2.198,2.5,3.205,-1.29
0.1913,0,LAUNCH,-0.151,0.183,-2.427,-0.014,-0.233,-0.155,1.2,-0.027,-0.219,1.2,0.233,0.967,8.153,8.154,1.0053,2.198,2.5,3.205,-1.29
